No,InputGasRate,CO2
275,-0.424,53.8
276,-0.276,54.5
277,-0.158,54.9
278,-0.033,54.9
279,0.102,54.8
280,0.251,54.4
281,0.28,53.7
282,0,53.3
283,-0.493,52.8
284,-0.759,52.6
285,-0.824,52.6
286,-0.74,53
287,-0.528,54.3
288,-0.204,56
289,0.034,57
290,0.204,58
291,0.253,58.6
292,0.195,58.5
293,0.131,58.3
294,0.017,57.8
295,-0.182,57.3
296,-0.262,57
